year,Adunu,Anninigi,Babadudu,Bacita,Badegi,Baidna,Bakeko,Batagi,Batako,Batati,Birnin Maza,Bisanti,Bode Saadu,Bokani,Boku,Busu,Chimbi,Dassun,Dikko,Duma,Dzwafu,Edati Pata,Edokota,Edotsu,Edozhigi A,Edozhigi B,Egbako,Essa,Essan,Etsu Audu,Etsu Tasha A,Etsugai,Evuti Vatsa,Fazhi,Gana,Gawu,Gazhe One,Gazhe Two,Gbadafu,Gbakogi,Gbangba,Gbata,Gbugbu,Gidan Kwanu,Gogata,Gonagi,Gulu,Guzan,Ijagwari,Ishau,Izom,Jangaru,Jebba,Jedna,Jehunkunu,Jere,Jima,Kabo,Kakaki,Kampala,Kataeregi,Koro,Kpaki,Kpandaragi,Kudna,Kudu,Kusotachi,Kutiriko,Kwagana,Kwaka,Kwakuti,Labozhi,Lagun,Lambata,Lefu,Lemu,Magaji,Maikunkele,Maitumbi,Mangoro Hassan,Muwo,Nangau,Nuwankota,Oloru,Pangu,Pyatta,Rabba,Rokota,Sabon Dagah,Sakpe,Shao,Shatta,Shatta Sabo,Shipardna,Somazhiko,Sonfada,Tagagi,Takuti Shaba,Takuti Shaku,Tuna,Tunga Mallam,Tutungo,Zhimyi,Zuruh,Adogi,Adunu 2,Agwatashi,Agyaragu,Agyaragu Tofa,Akura,Alagye,Alapa,Alizaga,Alwaza,Andaha,Ankoro,Apado,Arikpa,Ashangwa,Ashige,Assakio,Barkin Abdullahi,Bisanti 2,Bokungi,Burum-Burum,Charati,Chengudu,Daddere,Ejidogari,Esanti,Essan B,Evunta,Garaku,Garam,Gbara,Gidan Ausa,Gitta,Gudi,Gurdi,Gwanje,Iponri,Iwashi,Keffin Wambai,Kokodo,Kurmin Tagwaye,Kwandare,Lanwa,Lenfa,Lizzin Ezzen,Mada Station,Mambe,Nakere,Ngbambula,Nunku,Pangu 2,Pangu 3,Patidzuru,Sabon Makera,Shabu,Takuti Abuja,Tsonga 1,Tsonga 2,Tudun Adabu,Tufa,Wakama,Wamba Kurmi,Yelwa,Yikpata,Zambufu,Zanchitagi,Zolegi,UREGI COOPERATIVE,BOBI COOPERATIVE
1994,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1,7,0,1,6,4,6,4,6,5,6,12,1,7,4,4,1,2,1,6,6,5,6,4,4,4,5,6,4,6,4,12,3,5,7,1,4,4,6,6,8,7,2,7,6,4,5,3,1,1,1,5,1,7,1,4,4,1,4,5,12,1,4,2,1,4,4,7,1,1,1,4,5,1,4,8,6,8,4,8,2,8,8,1,8,5,3,3,7,4,0,5,5,5,8,6,7,7,4,4,7,7,5,4,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,12,2,1,5,5,0,1,6,4,4,1,1,6,0,1,1,6,1,0,1,1,6,1,0,0,4,1,1,4,1,1,1,8,8,2,7,0,7,3,4,0,1,1,1,1,2,2,4,7,8,5
1999,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,2,1,1,2,2,2,2,0,2,2,2,0,0,2,2,2,2,1,1,0,1,0,1,2,0,0,1,0,1,1,0,2,2,1,0,1,0,1,1,0,2,2,0,0,1,1,0,2,2,1,1,1,0,0,2,0,0,0,2,1,2,2,1,0,0,0,0,1,1
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
