name,latitude,longitude,threshold,heat_days,payout,status,last_updated,season_day,total_season_days
Adunu,9.5,7.25,39.8,0,0,Safe,2026-04-16,47,92
Anninigi,9.5,6.5,40.8,0,0,Safe,2026-04-16,47,92
Babadudu,8.75,4.75,40.7,0,0,Safe,2026-04-16,47,92
Bacita,9.0,4.75,41.3,0,0,Safe,2026-04-16,47,92
Badegi,9.0,6.25,41.0,0,0,Safe,2026-04-16,47,92
Baidna,9.25,6.75,40.3,0,0,Safe,2026-04-16,47,92
Bakeko,9.0,6.25,41.0,0,0,Safe,2026-04-16,47,92
Batagi,9.0,6.0,41.4,0,0,Safe,2026-04-16,47,92
Batako,9.25,6.0,41.3,0,0,Safe,2026-04-16,47,92
Batati,9.25,5.75,41.4,0,0,Safe,2026-04-16,47,92
Birnin Maza,9.0,6.75,41.1,0,0,Safe,2026-04-16,47,92
Bisanti,9.25,6.25,40.8,0,0,Safe,2026-04-16,47,92
Bode Saadu,9.0,4.75,41.3,0,0,Safe,2026-04-16,47,92
Bokani,9.5,5.25,41.1,0,0,Safe,2026-04-16,47,92
Boku,9.0,6.5,41.5,0,0,Safe,2026-04-16,47,92
Busu,9.0,6.0,41.4,0,0,Safe,2026-04-16,47,92
Chimbi,9.5,7.0,40.1,0,0,Safe,2026-04-16,47,92
Dassun,9.25,5.5,41.5,0,0,Safe,2026-04-16,47,92
Dikko,9.25,7.25,39.5,0,0,Safe,2026-04-16,47,92
Duma,8.75,6.75,41.3,0,0,Safe,2026-04-16,47,92
Dzwafu,9.0,6.25,41.0,0,0,Safe,2026-04-16,47,92
Edati Pata,9.25,5.75,41.4,0,0,Safe,2026-04-16,47,92
Edokota,9.25,6.0,41.3,0,0,Safe,2026-04-16,47,92
Edotsu,8.75,6.25,41.5,0,0,Safe,2026-04-16,47,92
Edozhigi A,9.0,5.75,41.6,0,0,Safe,2026-04-16,47,92
Edozhigi B,9.0,6.0,41.4,0,0,Safe,2026-04-16,47,92
Egbako,9.25,5.75,41.4,0,0,Safe,2026-04-16,47,92
Essa,9.0,6.25,41.0,0,0,Safe,2026-04-16,47,92
Essan,9.5,6.75,39.6,0,0,Safe,2026-04-16,47,92
Etsu Audu,9.25,6.0,41.3,0,0,Safe,2026-04-16,47,92
Etsu Tasha A,9.0,5.75,41.6,0,0,Safe,2026-04-16,47,92
